verbnumber,verb,wordnet_synset,example_sentence,aspectual_class,semantic_class,Event_Structure_Type
98,assert,affirm.v.02,Before God I swear I am innocent,transition,COS,NONE
98,assert,assert.v.03,Women should assert themselves more!,transition,COS,CHANGE_STATE
98,assert,insist.v.03,The letter asserts a free society,transition,COS,CHANGE_STATE
99,assess,measure.v.04,I will have the family jewels appraised by a professional,transition,COS,POSITIVE_CAUSATION
99,assess,assess.v.02,NONE,transition,COS,CHANGE_STATE
99,assess,tax.v.02,NONE,transition,COS,CHANGE_STATE
99,assess,assess.v.04,Our house hasn't been assessed in years,transition,COS,CHANGE_STATE
100,assign,delegate.v.02,NONE,transition,COS,CHANGE_STATE
100,assign,assign.v.02,We were assigned new uniforms,transition,COS,CHANGE_STATE
100,assign,impute.v.01,We attributed this quotation to Shakespeare,state,state,STATE
100,assign,assign.v.04,The teacher assigned him to lead his classmates in the exercise,transition,COS,CHANGE_STATE
100,assign,put.v.04,She put too much emphasis on her the last statement,transition,COS,COS_ARRIVE
100,assign,arrogate.v.02,NONE,transition,COS,CHANGE_STATE
100,assign,assign.v.07,NONE,transition,COS,CHANGE_STATE
100,assign,assign.v.08,The biologist assigned the mushroom to the proper class,transition,COS,CHANGE_STATE
101,assimilate,absorb.v.02,he absorbed the knowledge or beliefs of his tribe,transition,COS,CHANGE_STATE
101,assimilate,assimilate.v.02,Immigrants often want to assimilate quickly,transition,COS,CHANGE_STATE
101,assimilate,assimilate.v.03,This country assimilates immigrants very quickly,transition,COS,CHANGE_STATE
101,assimilate,assimilate.v.04,NONE,transition,COS,NONE
101,assimilate,assimilate.v.05,The nasal assimilates to the following consonant,transition,COS,CHANGE_STATE
102,assist,help.v.01,Everyone helped out during the earthquake,transition,COS,CHANGE_STATE
102,assist,assist.v.02,NONE,transition,COS,NONE
102,assist,serve.v.10,May I serve you?,state,state,STATE
103,associate,associate.v.01,I cannot connect these two pieces of evidence in my mind,transition,COS,CHANGE_STATE
103,associate,consort.v.01,He associates with strange people,transition,COS,NONE
103,associate,consociate.v.01,The churches consociated to fight their dissolution,transition,COS,CHANGE_STATE
104,assume,assume.v.01,I assume his train was late,state,state,STATE
104,assume,assume.v.02,When will the new President assume office?,state,state,STATE
104,assume,assume.v.03,His voice took on a sad tone,transition,COS,CHANGE_STATE
104,assume,bear.v.06,I'll accept the charges,transition,COS,CHANGE_STATE
104,assume,assume.v.05,He assumes the lotus position,transition,COS,CHANGE_STATE
104,assume,assume.v.06,He assumed to himself the right to fill all positions in the town,state,state,STATE
104,assume,simulate.v.03,"She assumed indifference, even though she was seething with anger",state,state,STATE
104,assume,assume.v.08,This is the day when May was assumed into heaven,state,state,STATE
104,assume,wear.v.09,What should I wear today?,transition,COS,CHANGE_STATE
105,assure,guarantee.v.02,This nest egg will ensure a nice retirement for us,transition,COS,CHANGE_STATE
105,assure,assure.v.02,I tell you that man is a crook!,transition,COS,CHANGE_STATE
105,assure,assure.v.03,I assured him that traveling to Cambodia was safe,transition,COS,CHANGE_STATE
105,assure,see.v.10,He verified that the valves were closed,state,state,STATE
105,assure,reassure.v.01,The airline tried to reassure the customers that the planes were safe,transition,COS,CHANGE_STATE
105,assure,promise.v.01,NONE,transition,COS,CHANGE_STATE
106,astonish,amaze.v.01,Your ability to speak six languages amazes me!,transition,COS,PROCESS
107,astound,amaze.v.01,Your ability to speak six languages amazes me!,transition,COS,PROCESS
108,attach,attach.v.01,NONE,transition,COS,NONE
108,attach,attach.v.02,NONE,transition,COS,NONE
108,attach,attach.v.03,The spider's thread attached to the window sill,transition,COS,CHANGE_STATE
108,attach,bind.v.02,The grandparents want to bond with the child,transition,COS,NONE
108,attach,impound.v.01,The FBI seized the drugs,transition,COS,CHANGE_STATE
109,attain,achieve.v.01,she achieved her goal despite setbacks,transition,COS,CHANGE_STATE
109,attain,reach.v.02,The thermometer hit 100 degrees,transition,COS,SCALAR_CHANGE
109,attain,fall_upon.v.01,the archeologists chanced upon an old tomb,transition,COS,NONE
109,attain,reach.v.01,We hit Detroit by noon,transition,COS,CHANGE_STATE
110,attend,attend.v.01,She attends class regularly,process,process,PROCESS
110,attend,attend.v.02,Could you see about lunch?,state,state,STATE
110,attend,attend.v.03,Menuhin's playing was attended by a 15-minute standing ovation,transition,COS,CHANGE_STATE
110,attend,serve.v.10,May I serve you?,state,state,STATE
110,attend,attend.v.05,The children in the audience attended the recital quietly,process,process,PROCESS
111,attest,attest.v.01,His high fever attested to his illness,transition,COS,CHANGE_STATE
111,attest,attest.v.02,I attest this signature,transition,COS,CHANGE_STATE
111,attest,testify.v.01,NONE,transition,COS,NONE
111,attest,attest.v.04,This word is not attested until 1993,transition,COS,CHANGE_STATE
113,awake,wake_up.v.02,She woke up to the sound of the alarm clock,transition,COS,CHANGE_STATE
114,awaken,awaken.v.01,He was roused by the drunken men in the street,transition,COS,CHANGE_STATE
114,awaken,wake_up.v.02,She woke up to the sound of the alarm clock,transition,COS,CHANGE_STATE
114,awaken,awaken.v.03,They were awakened to the sad facts,transition,COS,CHANGE_STATE
115,babble,babble.v.01,The old man is only babbling--don't pay attention,transition,COS,NONE
115,babble,babble.v.02,The two women babbled and crooned at the baby,transition,COS,CHANGE_STATE
115,babble,ripple.v.02,babbling brooks,transition,COS,NONE
115,babble,spill_the_beans.v.01,Be careful--his secretary talks,transition,COS,NONE
116,back,back.v.01,He plumped for the Labor Party,process,process,PROCESS
116,back,back.v.02,back into the driveway,process,process,PROCESS
116,back,second.v.01,I'll second that motion,transition,COS,CHANGE_STATE
116,back,back.v.04,back the car into the parking spot,process,process,PROCESS
116,back,back.v.05,back this enterprise,process,process,PROCESS
116,back,back.v.06,My garage backs their yard,process,process,PROCESS
116,back,bet_on.v.01,Which horse are you backing?,transition,COS,NONE
116,back,back.v.08,the wind backed,transition,COS,CHANGE_STATE
116,back,back.v.09,Can you back up your claims?,transition,COS,CHANGE_STATE
116,back,back.v.10,NONE,process,process,PROCESS
117,baffle,perplex.v.01,This beats me!,transition,COS,NONE
117,baffle,thwart.v.01,What ultimately frustrated every challenger was Ruth's amazing September surge,transition,COS,CHANGE_STATE
117,baffle,baffle.v.03,NONE,transition,COS,CHANGE_STATE
118,bag,bag.v.01,bag a few pheasants,transition,COS,NONE
118,bag,bag.v.02,NONE,transition,COS,NONE
118,bag,bulge.v.02,NONE,transition,COS,NONE
118,bag,pocket.v.02,NONE,transition,COS,NONE
118,bag,bag.v.05,The supermarket clerk bagged the groceries,transition,COS,CHANGE_STATE
119,bake,bake.v.01,bake the potatoes,transition,COS,NONE
119,bake,bake.v.02,bake a cake,transition,COS,NONE
119,bake,broil.v.02,The sun broils the valley in the summer,transition,COS,NONE
119,bake,bake.v.04,The town was broiling in the sun,transition,COS,NONE
120,balance,balance.v.01,She has to balance work and her domestic duties,transition,COS,CHANGE_STATE
120,balance,balance.v.02,NONE,transition,COS,CHANGE_STATE
120,balance,poise.v.04,NONE,transition,COS,CHANGE_STATE
120,balance,balance.v.04,He was balancing on one foot,transition,COS,CHANGE_STATE
121,balk,resist.v.06,NONE,transition,COS,NONE
122,ball,ball.v.01,ball wool,transition,COS,NONE
123,balloon,balloon.v.01,He tried to balloon around the earth but storms forced him to land in China,process,process,PROCESS
123,balloon,balloon.v.02,The sails ballooned,transition,COS,CHANGE_STATE
124,bamboozle,bamboozle.v.01,He bamboozled his professors into thinking that he knew the subject well,process,process,PROCESS
125,ban,ban.v.01,NONE,transition,COS,NEGATIVE_CAUSATION
125,ban,ban.v.02,Smoking is banned in this building,transition,COS,CHANGE_STATE
125,ban,banish.v.02,NONE,transition,COS,NEGATIVE_CAUSATION
125,ban,banish.v.01,NONE,transition,COS,NEGATIVE_CAUSATION
126,band,band.v.01,NONE,transition,COS,NONE
126,band,ring.v.06,ring birds,transition,COS,NONE
127,bang,slam.v.02,slam the ball,transition,COS,NONE
127,bang,bang.v.02,One of them banged the sash of the window nearest my bed,transition,COS,CHANGE_STATE
127,bang,slam.v.01,He slammed the door shut,transition,COS,CHANGE_STATE
127,bang,bang.v.04,The window banged shut,transition,COS,CHANGE_STATE
127,bang,sleep_together.v.01,This student sleeps with everyone in her dorm,transition,COS,NONE
127,bang,spang.v.01,Bullets spanged into the trees,transition,COS,CHANGE_STATE
128,banish,banish.v.01,NONE,transition,COS,NONE
128,banish,banish.v.02,NONE,transition,COS,NONE
128,banish,banish.v.03,he was banished from his own country,transition,COS,CHANGE_STATE
128,banish,banish.v.04,banish bad thoughts,transition,COS,NONE
129,bank,bank.v.01,the pilot had to bank the aircraft,transition,COS,POSITIVE_CAUSATION
129,bank,bank.v.02,bank roads,transition,COS,NONE
129,bank,bank.v.03,Where do you bank in this town?,transition,COS,CHANGE_STATE
129,bank,bank.v.04,NONE,transition,COS,NONE
129,bank,bank.v.05,NONE,transition,COS,NONE
129,bank,deposit.v.02,She deposits her paycheck every month,transition,COS,CHANGE_STATE
129,bank,bank.v.07,bank a fire,transition,COS,NONE
129,bank,trust.v.01,We can trust in God,state,state,STATE
130,baptize,baptize.v.01,The parents had the child baptized,transition,COS,POSITIVE_CAUSATION
131,bar,bar.v.01,He was barred from membership in the club,transition,COS,NEGATIVE_CAUSATION
131,bar,barricade.v.01,block the way,transition,COS,NONE
131,bar,banish.v.03,he was banished from his own country,transition,COS,CHANGE_STATE
131,bar,bar.v.04,He barred the door,transition,COS,NEGATIVE_CAUSATION
132,barge,barge.v.01,she barged into the meeting room,transition,COS,CHANGE_STATE
132,barge,barge.v.02,NONE,transition,COS,NONE
133,bark,bark.v.01,She barked into the dictaphone,transition,COS,CHANGE_STATE
133,bark,bark.v.02,NONE,transition,COS,NONE
133,bark,bark.v.03,NONE,transition,COS,NONE
133,bark,bark.v.04,The dogs barked at the stranger,transition,COS,CHANGE_STATE
133,bark,bark.v.05,NONE,transition,COS,NONE
134,barter,barter.v.01,NONE,transition,COS,NONE
135,base,establish.v.08,base a claim on some observation,transition,COS,COME_INTO_EXISTENCE
135,base,base.v.02,we will base this project in the new lab,transition,COS,CHANGE_STATE
135,base,free-base.v.01,NONE,state,state,STATE
136,bash,sock.v.01,NONE,transition,COS,NONE
137,bask,enjoy.v.01,She relished her fame and basked in her glory,transition,COS,CHANGE_STATE
137,bask,bask.v.02,The seals were basking in the sun,transition,COS,NONE
138,baste,baste.v.01,baste a roast,transition,COS,NONE
138,baste,clobber.v.01,She clobbered the man who tried to attack her,process,process,PROCESS
138,baste,baste.v.03,baste a hem,transition,COS,NONE
139,bat,bat.v.01,bat the ball,transition,COS,NONE
139,bat,bat.v.02,bat one's eyelids,transition,COS,NONE
139,bat,bat.v.03,"Jones bats first, followed by Martinez",transition,COS,NONE
139,bat,bat.v.04,Who's batting?,transition,COS,NONE
139,bat,cream.v.02,We licked the other team on Sunday!,transition,COS,CHANGE_STATE
140,bathe,bathe.v.01,bathe daily,transition,COS,NONE
140,bathe,bathe.v.02,The room was bathed in sunlight,transition,COS,NONE
140,bathe,bathe.v.03,The child should bathe every day,transition,COS,CHANGE_STATE
141,battle,battle.v.01,The Kurds are combating Iraqi troops in Northern Iraq,process,process,PROCESS
142,bawl,bawl.v.01,NONE,transition,COS,NONE
142,bawl,yawp.v.01,NONE,transition,COS,NONE
142,bawl,bawl.v.03,Don't bawl in public!,transition,COS,NONE
143,bayonet,bayonet.v.01,NONE,transition,COS,NONE
144,beach,beach.v.01,the ship beached near the port,transition,COS,CHANGE_STATE
145,bead,bead.v.01,NONE,transition,COS,NONE
145,bead,bead.v.02,bead the wedding gown,transition,COS,NONE
145,bead,bead.v.03,NONE,transition,COS,NONE
146,beam,beam.v.01,NONE,transition,COS,NONE
146,beam,shine.v.02,The sun shone bright that day,transition,COS,NONE
146,beam,beam.v.03,he beamed his approval,transition,COS,CHANGE_STATE
146,beam,air.v.03,We cannot air this X-rated song,transition,COS,CHANGE_STATE
146,beam,glow.v.02,Her face glowed when she came out of the sauna,transition,COS,CHANGE_STATE
146,beam,glow.v.05,She was beaming with joy,transition,COS,NONE
147,bear,bear.v.01,bear a resemblance,state,state,STATE
147,bear,give_birth.v.01,My wife had twins yesterday!,transition,COS,POSITIVE_CAUSATION
147,bear,digest.v.03,I cannot bear his constant criticism,state,state,STATE
147,bear,bear.v.04,Bear gifts,state,state,STATE
147,bear,bear.v.05,The unidentified plant bore gorgeous flowers,state,state,STATE
147,bear,bear.v.06,I'll accept the charges,transition,COS,CHANGE_STATE
147,bear,hold.v.11,The jar carries wine,transition,COS,CHANGE_STATE
147,bear,yield.v.10,interest-bearing accounts,transition,COS,NONE
147,bear,wear.v.02,He wore a red ribbon,transition,COS,CHANGE_STATE
147,bear,behave.v.02,She carried herself well,transition,COS,CHANGE_STATE
147,bear,bear.v.11,She bears the title of Duchess,state,state,STATE
147,bear,hold.v.14,She holds her head high,process,process,PROCESS
147,bear,have_a_bun_in_the_oven.v.01,She is bearing his child,transition,COS,NONE
148,beat,beat.v.01,Agassi beat Becker in the tennis championship,transition,COS,CHANGE_STATE
148,beat,beat.v.02,Thugs beat him up when he walked down the street late at night,transition,COS,CHANGE_STATE
148,beat,beat.v.03,beat on the door,process,process,PROCESS
148,beat,beat.v.04,Her heart was beating fast,process,process,PROCESS
148,beat,beat.v.05,beat swords into ploughshares,process,process,PROCESS
148,beat,drum.v.01,Rain drummed against the windshield,transition,COS,CHANGE_STATE
148,beat,beat.v.07,The sun was beating down on us,process,process,PROCESS
148,beat,beat.v.08,The bird flapped its wings,transition,COS,CHANGE_STATE
148,beat,beat.v.09,The boat beat in the strong wind,process,process,PROCESS
148,beat,beat.v.10,beat the egg whites,process,process,PROCESS
148,beat,beat.v.11,beat one's breast,process,process,PROCESS
148,beat,beat.v.12,Reading beats watching television,process,process,PROCESS
148,beat,beat.v.13,beat the subway fare,process,process,PROCESS
148,beat,tick.v.02,the clocks were ticking,transition,COS,NONE
148,beat,beat.v.15,The bird's wings were flapping,process,process,PROCESS
148,beat,beat.v.16,Beat the rhythm,process,process,PROCESS
148,beat,pulsate.v.02,the city pulsated with music and excitement,transition,COS,CHANGE_STATE
148,beat,beat.v.18,beat a path through the forest,process,process,PROCESS
148,beat,beat.v.19,beat the drum,process,process,PROCESS
148,beat,beat.v.20,NONE,process,process,PROCESS
148,beat,outwit.v.01,I beat the traffic,transition,COS,CHANGE_STATE
148,beat,perplex.v.01,This beats me!,transition,COS,NONE
148,beat,exhaust.v.01,This kind of work exhausts me,transition,COS,NONE
149,beckon,beckon.v.01,She waved to her friends,transition,COS,CHANGE_STATE
149,beckon,beckon.v.02,The shop window decorations beckoned,transition,COS,CHANGE_STATE
149,beckon,beckon.v.03,NONE,transition,COS,NONE
150,become,become.v.01,He became annoyed when he heard the bad news,transition,COS,BECOME
150,become,become.v.02,The water turned into ice,transition,COS,COS_ARRIVE
150,become,become.v.03,What becomes has duration,transition,COS,BECOME
150,become,become.v.04,Mourning becomes Electra,transition,COS,BECOME
151,bed,bed.v.01,The inn keeper could bed all the new arrivals,transition,COS,CHANGE_STATE
151,bed,bed.v.02,NONE,transition,COS,NONE
151,bed,bed.v.03,The children were bedded at ten o'clock,transition,COS,CHANGE_STATE
151,bed,sleep_together.v.01,This student sleeps with everyone in her dorm,transition,COS,NONE
151,bed,go_to_bed.v.01,I usually turn in at midnight,transition,COS,NONE
152,befall,befall.v.01,He promised that no harm would befall her,transition,COS,CHANGE_STATE
152,befall,happen.v.02,It happens that today is my birthday,transition,COS,STATE
153,befriend,befriend.v.01,John and Eric soon became friends,transition,COS,NONE
154,beg,beg.v.01,I beg you to stop!,transition,COS,CHANGE_STATE
154,beg,solicit.v.01,Henry IV solicited the Pope for a divorce,transition,COS,CHANGE_STATE
154,beg,beg.v.03,beg money and food,transition,COS,CHANGE_STATE
154,beg,beg.v.04,beg the question,transition,COS,CHANGE_STATE
155,begin,get_down.v.07,We began working at dawn,transition,COS,BEGIN
155,begin,begin.v.02,The DMZ begins right over the hill,transition,COS,BEGIN
155,begin,begin.v.03,The U.S. started a war in the Middle East,transition,COS,BEGIN
155,begin,begin.v.04,"Now listen, friends,"" he began",process,process,PROCESS
155,begin,begin.v.05,The number `one' begins the sequence,transition,COS,STATE
155,begin,begin.v.06,WW II began in 1939 when Hitler marched into Poland,transition,COS,BEGIN
155,begin,begin.v.07,The novel begins with a murder,transition,COS,STATE
155,begin,begin.v.08,begin a cigar,transition,COS,BEGIN
155,begin,begin.v.09,This economic measure doesn't even begin to deal with the problem of inflation,transition,COS,BEGIN
155,begin,begin.v.10,She began Russian at an early age,transition,COS,BEGIN
156,beguile,juggle.v.01,NONE,transition,COS,NONE
156,beguile,capture.v.02,She captured all the men's hearts,transition,COS,CHANGE_STATE
157,behave,act.v.02,You should act like an adult,transition,COS,CHANGE_STATE
157,behave,behave.v.02,She carried herself well,transition,COS,CHANGE_STATE
157,behave,behave.v.03,The children must learn to behave,transition,COS,CHANGE_STATE
158,behold,behold.v.01,behold Christ!,transition,COS,NONE
159,belch,burp.v.01,In China it is polite to burp at the table,transition,COS,CHANGE_STATE
159,belch,erupt.v.05,Vesuvius erupts once in a while,transition,COS,NONE
160,believe,believe.v.01,I believed his report,transition,COS,STATE
160,believe,think.v.01,I think he is very smart,state,state,STATE
160,believe,believe.v.03,I believe that he will come back from the war,state,state,STATE
160,believe,believe.v.04,"When you hear his sermons, you will be able to believe, too",transition,COS,CHANGE_STATE
160,believe,believe.v.05,You cannot believe this man,state,state,STATE
161,belittle,minimize.v.03,Don't belittle his influence,transition,COS,CHANGE_STATE
161,belittle,disparage.v.01,She disparaged her student's efforts,transition,COS,CHANGE_STATE
161,belittle,diminish.v.02,don't belittle your colleagues,transition,COS,CHANGE_STATE
162,bellow,bawl.v.01,NONE,transition,COS,NONE
162,bellow,bellow.v.02,The bull bellowed,transition,COS,CHANGE_STATE
163,belt,belt_out.v.01,NONE,transition,COS,NONE
163,belt,belt.v.02,He belted his opponent,transition,COS,CHANGE_STATE
163,belt,belt.v.03,belt your trousers,transition,COS,NONE
164,bench,bench.v.01,NONE,transition,COS,NONE
164,bench,bench.v.02,bench the poodles at the dog show,transition,COS,NONE
165,bend,bend.v.01,The stick does not bend,transition,COS,CHANGE_STATE
165,bend,bend.v.02,The road bends,transition,COS,CHANGE_STATE
165,bend,flex.v.05,bend the rod,transition,COS,NONE
165,bend,crouch.v.01,he crouched down,transition,COS,CHANGE_STATE
165,bend,deflect.v.02,NONE,transition,COS,CHANGE_STATE
165,bend,flex.v.04,flex your wrists,transition,COS,NONE
166,bequeath,bequeath.v.01,My aunt bequeathed me all her jewelry,transition,COP,LOSE
167,berate,call_on_the_carpet.v.01,The mother scolded the child for entering a stranger's car,transition,COS,CHANGE_STATE
168,beseech,bid.v.03,The prophet bid all people to become good persons,transition,COS,NONE
169,bet,bet.v.01,I bet she will be there!,transition,COS,CHANGE_STATE
169,bet,bet.v.02,I bet $100 on that new horse,transition,COS,CHANGE_STATE
169,bet,count.v.08,you can count on me to help you any time,state,state,STATE
170,betroth,betroth.v.01,NONE,transition,COS,NONE
171,better,better.v.01,She bettered her own record,transition,COS,CHANGE_STATE
171,better,better.v.02,The editor improved the manuscript with his changes,transition,COS,SCALAR_CHANGE
171,better,better.v.03,The weather improved toward evening,transition,COS,CHANGE_STATE
172,beware,beware.v.01,Beware of telephone salesmen,transition,COS,NONE
173,bewilder,perplex.v.01,This beats me!,transition,COS,NONE
173,bewilder,bewilder.v.02,NONE,transition,COS,NONE
174,bewitch,capture.v.02,She captured all the men's hearts,transition,COS,CHANGE_STATE
174,bewitch,magnetize.v.02,She magnetized the audience with her tricks,transition,COS,CHANGE_STATE
174,bewitch,hex.v.01,NONE,transition,COS,NONE
175,bicker,quibble.v.02,Let's not quibble over pennies,transition,COS,NONE
176,bill,charge.v.03,Will I get charged for this service?,transition,COP,GET
176,bill,bill.v.02,He was billed as the greatest tenor since Caruso,transition,COS,CHANGE_STATE
176,bill,placard.v.02,NONE,transition,COS,NONE
177,bind,adhere.v.06,Will this wallpaper adhere to the wall?,transition,COS,NONE
177,bind,bind.v.02,The grandparents want to bond with the child,transition,COS,NONE
177,bind,bind.v.03,The Chinese would bind the feet of their women,transition,COS,CHANGE_STATE
177,bind,bind.v.04,NONE,transition,COS,NONE
177,bind,tie_down.v.01,tie down the prisoners,transition,COS,NONE
177,bind,oblige.v.02,He's held by a contract,transition,COS,CHANGE_STATE
177,bind,bind.v.07,bind the books in leather,transition,COS,NONE
177,bind,tie.v.01,They tied their victim to the chair,transition,COS,CHANGE_STATE
177,bind,bind.v.09,The hydrogen binds the oxygen,transition,COS,NONE
177,bind,constipate.v.02,These foods tend to constipate you,state,state,STATE
178,bite,bite.v.01,Gunny invariably tried to bite her,transition,COS,CHANGE_STATE
178,bite,bite.v.02,The sun burned his face,transition,COS,CHANGE_STATE
178,bite,bite.v.03,The fork bit into the surface,transition,COS,NONE
178,bite,sting.v.02,A bee stung my arm yesterday,transition,COS,NONE
179,blab,spill_the_beans.v.01,Be careful--his secretary talks,transition,COS,NONE
179,blab,chatter.v.04,NONE,transition,COS,NONE
180,blacken,blacken.v.01,The smoke blackened the ceiling,transition,COS,CHANGE_STATE
180,blacken,char.v.02,The cook blackened the chicken breast,transition,COS,CHANGE_STATE
181,blackmail,blackmail.v.01,NONE,transition,COS,NONE
181,blackmail,blackmail.v.02,NONE,transition,COS,NONE
182,blame,blame.v.01,NONE,process,process,PROCESS
182,blame,blame.v.02,Don't always pick on your little brother,transition,COS,PROCESS
182,blame,blame.v.03,We blamed the accident on her,transition,COS,CHANGE_STATE
183,blanket,blanket.v.01,snow blanketed the fields,transition,COS,CHANGE_STATE
183,blanket,blanket.v.02,NONE,transition,COS,NONE
184,blast,blast.v.01,She tended to blast when speaking into a microphone,transition,COS,CHANGE_STATE
184,blast,smash.v.01,He smashed a 3-run homer,transition,COS,CHANGE_STATE
184,blast,blast.v.03,The enemy has been shelling us all day,transition,COS,NONE
184,blast,blast.v.04,the air conditioning was blasting cold air at us,transition,COS,NONE
184,blast,blast.v.05,blast a passage through the mountain,transition,COS,NONE
184,blast,blast.v.06,blast a tunnel through the Alps,transition,COS,NONE
184,blast,blast.v.07,the gunman blasted away,transition,COS,CHANGE_STATE
184,blast,savage.v.02,The press savaged the new President,transition,COS,CHANGE_STATE
184,blast,blast.v.09,NONE,transition,COS,NONE
184,blast,blast.v.10,NONE,transition,COS,NONE
185,bleat,bleat.v.01,NONE,transition,COS,NONE
185,bleat,bleat.v.02,The lambs were bleating,transition,COS,NONE
186,bleed,shed_blood.v.02,NONE,process,process,PROCESS
186,bleed,bleed.v.02,"In the old days, doctors routinely bled patients as part of the treatment",transition,COS,CHANGE_STATE
186,bleed,bleed.v.03,They bled me dry--I have nothing left!,transition,COS,CHANGE_STATE
186,bleed,run.v.27,These dyes and colors are guaranteed not to run,transition,COS,CHANGE_STATE
186,bleed,bleed.v.05,bleed the radiators,transition,COS,CHANGE_STATE
187,blend,blend.v.01,blend the nuts and raisins together,transition,COS,NONE
187,blend,blend.v.02,This flavor will blend with those in your dish,transition,COS,CHANGE_STATE
187,blend,blend.v.03,The colors blend well,transition,COS,CHANGE_STATE
188,bless,bless.v.01,The dying man blessed his son,transition,COS,CHANGE_STATE
188,bless,bless.v.02,NONE,transition,COS,NONE
188,bless,bless.v.03,NONE,transition,COS,NONE
188,bless,consecrate.v.04,NONE,transition,COS,NONE
189,blight,blight.v.01,Too much rain may blight the garden with mold,transition,COS,CHANGE_STATE
190,blindfold,blindfold.v.01,the hostage was blindfolded and driven away,transition,COS,CHANGE_STATE
191,blink,blink.v.01,The TV announcer never seems to blink,state,state,STATE
191,blink,wink.v.04,blink away tears,transition,COS,NONE
191,blink,flash.v.01,The lights were flashing,transition,COS,NONE
192,blister,blister.v.01,Her feet blistered during the long hike,transition,COS,CHANGE_STATE
192,blister,blister.v.02,The Senator blistered the administration in his speech on Friday,transition,COS,CHANGE_STATE
192,blister,blister.v.03,the tight shoes and perspiration blistered her feet,transition,COS,CHANGE_STATE
193,block,barricade.v.01,block the way,transition,COS,NONE
193,block,obstruct.v.01,His brother blocked him at every turn,transition,COS,CHANGE_STATE
193,block,stop.v.03,Block his election,transition,COS,END
193,block,jam.v.04,Jam the Voice of America,transition,COS,NONE
193,block,block.v.05,block trains,transition,COS,CHANGE_STATE
193,block,block.v.06,block a nerve,transition,COS,CHANGE_STATE
193,block,obstruct.v.03,The thick curtain blocked the action on the stage,transition,COS,CHANGE_STATE
193,block,block.v.08,block the book cover,transition,COS,CHANGE_STATE
193,block,stuff.v.03,My nose is all stuffed,transition,COS,CHANGE_STATE
193,block,obstruct.v.02,obstruct the path,transition,COS,NONE
193,block,block.v.11,block a plate for printing,transition,COS,CHANGE_STATE
193,block,parry.v.01,block an attack,transition,COS,NONE
193,block,forget.v.02,I'm drawing a blank,transition,COS,CHANGE_STATE
193,block,block.v.14,Block a hat,transition,COS,CHANGE_STATE
193,block,block.v.15,block the graphs so one can see the results clearly,transition,COS,CHANGE_STATE
193,block,freeze.v.08,Blocked funds,transition,COS,NONE
194,bloom,bloom.v.01,The cherry tree bloomed,transition,COS,CHANGE_STATE
195,blossom,bloom.v.01,The cherry tree bloomed,transition,COS,CHANGE_STATE
195,blossom,blossom.v.02,Youth blossomed into maturity,transition,COS,CHANGE_STATE
196,blot,blot.v.01,NONE,transition,COS,NONE
196,blot,spot.v.04,The wine spotted the tablecloth,transition,COS,CHANGE_STATE
197,blow,blow.v.01,blow on the soup to cool it down,process,process,PROCESS
197,blow,blow.v.02,The wind blew from the West,process,process,PROCESS
197,blow,blow.v.03,blow one's nose,process,process,PROCESS
197,blow,float.v.01,The leaves were blowing in the wind,transition,COS,NONE
197,blow,blow.v.05,The whistle blew,process,process,PROCESS
197,blow,blow.v.06,Blow a glass vase,process,process,PROCESS
197,blow,botch.v.01,I botched the dinner and we had to eat out,transition,COS,CHANGE_STATE
197,blow,waste.v.01,He wasted his inheritance on his insincere friends,transition,COS,CHANGE_STATE
197,blow,blow.v.09,He blew a lot of money on his new home theater,transition,COS,CHANGE_STATE
197,blow,blow.v.10,The trumpets blew,transition,COS,CHANGE_STATE
197,blow,blow.v.11,She blew the horn,transition,COS,CHANGE_STATE
197,blow,fellate.v.01,NONE,process,process,PROCESS
197,blow,blow.v.13,Blow my hair dry,process,process,PROCESS
197,blow,blow.v.14,The wind blew the leaves around in the yard,process,process,PROCESS
197,blow,blow.v.15,The whales blew,transition,COS,CHANGE_STATE
197,blow,shove_off.v.01,shove off!,transition,COS,NONE
197,blow,blow.v.17,certain insects are said to blow,transition,COS,CHANGE_STATE
197,blow,blow.v.18,The story blew their cover,process,process,PROCESS
197,blow,boast.v.01,NONE,process,process,PROCESS
197,blow,blow.v.20,blow a horse,process,process,PROCESS
197,blow,blow_out.v.01,The lightbulbs blew out,transition,COS,CHANGE_STATE
197,blow,blow.v.22,The tire blew,process,process,PROCESS
198,blubber,snivel.v.03,Stop snivelling--you got yourself into this mess!,transition,COS,NONE
198,blubber,blubber.v.02,NONE,transition,COS,NONE
199,bludgeon,bludgeon.v.01,The teacher bludgeoned the students into learning the math formulas,transition,COS,CHANGE_STATE
199,bludgeon,club.v.03,NONE,transition,COS,NONE
200,blur,film_over.v.01,Her eyes glazed over from lack of sleep,transition,COS,NONE
200,blur,blur.v.02,The haze blurs the hills,transition,COS,NONE
200,blur,confuse.v.05,Her remarks confused the debate,transition,COS,CHANGE_STATE
200,blur,smear.v.02,NONE,transition,COS,NONE
200,blur,blur.v.05,The fog blurs my vision,transition,COS,NONE
200,blur,blur.v.06,The distinction between the two theories blurred,transition,COS,CHANGE_STATE
201,blurt,blurt_out.v.01,He blurted out the secret,transition,COS,CHANGE_STATE
202,blush,blush.v.01,The girl blushed when a young man whistled as she walked by,transition,COS,CHANGE_STATE
